ref_id,source_type,source_num,RA,DEC,W1mag,W2mag,W3mag,W4mag,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,Jmag,Hmag,Kmag,W12,W23,W34,bp_rp_mag,JHmag,HKmag,RJ,KW1
1,WR,1,10.86829167,64.75983333,6.882,6.462,5.55,4.507,9.804916,10.214731,9.175707,8.206,7.857,7.48,0.42,0.912,1.043,1.039024,0.349,0.377,0.969707,0.598
2,WR,1,16.34595833,60.42191667,8.843,8.478,7.506,6.41,11.040009,11.183511,10.62924,10.036,9.783,9.445,0.365,0.972,1.096,0.554271,0.253,0.338,0.59324,0.602
3,WR,1,24.73175,58.15627778,9.64,9.392,8.718,8.105,10.576855,10.614077,10.436784,10.237,10.134,10.009,0.248,0.674,0.613,0.177293,0.103,0.125,0.199784,0.369
4,WR,1,40.298625,56.7305,7.703,7.35,6.595,5.845,9.692991,9.87946,9.372683,8.749,8.566,7.877,0.353,0.755,0.75,0.506777,0.183,0.689,0.623683,0.174
5,WR,1,43.04858333,56.93530556,7.402,7.036,6.287,5.508,10.067797,10.441797,9.511998,8.626,8.336,7.653,0.366,0.749,0.779,0.929799,0.29,0.683,0.885998,0.251
6,WR,1,103.5543333,-23.92833333,5.322,4.695,4.015,3.013,6.583162,6.560694,6.530957,6.353,6.226,5.893,0.627,0.68,1.002,0.029737,0.127,0.333,0.177957,0.571
7,WR,1,109.621375,-13.21708333,8.623,8.258,7.207,5.072,11.175659,11.428406,10.701514,9.97,9.674,9.271,0.365,1.051,2.135,0.726892,0.296,0.403,0.731514,0.648
8,WR,1,110.09325,-23.73266667,10.256,9.907,9.072,7.489,13.64244,14.276089,12.836024,11.651,11.251,10.881,0.349,0.835,1.583,1.440065,0.4,0.37,1.185024,0.625
9,WR,1,116.2425833,-31.90819444,7.532,7.193,6.447,5.474,9.924923,10.248883,9.41237,8.57,8.322,7.928,0.339,0.746,0.973,0.836513,0.248,0.394,0.84237,0.396
10,WR,1,116.46,-34.33013889,7.245,6.905,6.255,5.502,10.142432,10.706409,9.414267,8.452,8.11,7.545,0.34,0.65,0.753,1.292142,0.342,0.565,0.962267,0.3
11,WR,1,119.9426667,-28.73416667,9.129,8.876,8.176,7.53,10.948094,11.159689,10.551695,10.053,9.887,9.61,0.253,0.7,0.646,0.607994,0.166,0.277,0.498695,0.481
13,WR,1,131.1970417,-45.98205556,7.385,6.955,6.017,5.039,10.372577,10.832049,9.686457,8.616,8.26,7.869,0.43,0.938,0.978,1.145592,0.356,0.391,1.070457,0.484
14,WR,1,132.470625,-45.17333333,8.539,8.156,7.392,6.738,12.37661,13.102558,11.519347,10.135,9.635,8.864,0.383,0.764,0.654,1.583211,0.5,0.771,1.384347,0.325
15,WR,1,133.7465,-47.59238889,6.172,5.918,5.231,4.504,8.625519,8.888724,8.166307,7.486,7.245,6.612,0.254,0.687,0.727,0.722417,0.241,0.633,0.680307,0.44
16,WR,1,138.299,-50.10708333,6.19,5.783,5.136,4.315,10.157862,10.925758,9.274086,7.846,7.338,6.596,0.407,0.647,0.821,1.651672,0.508,0.742,1.428086,0.406
17,WR,1,148.720375,-57.72727778,5.838,5.362,4.718,3.732,8.064675,8.307647,7.597544,6.968,6.714,6.38,0.476,0.644,0.986,0.710103,0.254,0.334,0.629544,0.542
18,WR,1,152.6329167,-60.64511111,8.829,8.507,7.729,7.017,10.415188,10.454964,10.346739,9.926,9.736,9.167,0.322,0.778,0.712,0.108225,0.19,0.569,0.420739,0.338
19,WR,1,154.1092083,-57.46825,8.647,8.145,7.511,6.622,17.034834,20.11592,15.454089,11.733,10.38,9.526,0.502,0.634,0.889,4.661831,1.353,0.854,3.721089,0.879
20,WR,1,154.2594167,-57.913,7.021,6.645,5.578,3.793,10.344335,10.819028,9.651837,8.566,8.205,7.676,0.376,1.067,1.785,1.167191,0.361,0.529,1.085837,0.655
21,WR,1,154.52075,-58.27394444,8.176,7.633,5.789,4.639,12.381878,13.325118,11.39517,9.751,9.134,8.53,0.543,1.844,1.15,1.929948,0.617,0.604,1.64417,0.354
22,WR,1,154.7224167,-58.13136111,6.887,6.481,5.912,5.932,12.804586,14.421255,11.5564,9.075,8.132,7.499,0.406,0.569,-0.02,2.864855,0.943,0.633,2.4814,0.612
23,WR,1,154.826625,-59.16077778,9.439,9.061,8.209,7.326,13.534856,14.334154,12.621537,11,10.432,9.927,0.378,0.852,0.883,1.712617,0.568,0.505,1.621537,0.488
24,WR,1,155.8478333,-58.00577778,7.946,7.744,7.14,3.61,11.858233,12.83282,10.860474,9.28,8.734,8.385,0.202,0.604,3.53,1.972346,0.546,0.349,1.580474,0.439
26,WR,1,156.076625,-57.80825,6.584,5.726,2.404,-3.133,12.074918,13.585856,10.855443,8.653,7.797,7.18,0.858,3.322,5.537,2.730413,0.856,0.617,2.202443,0.596
27,WR,1,156.2608333,-57.36313889,8.67,8.447,8.487,7.102,14.832278,17.2929,13.422475,10.505,9.571,9.035,0.223,-0.04,1.385,3.870425,0.934,0.536,2.917475,0.365
